Category,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Non-Violent,6452,5888,5825,6210,7062,7359,6917,6460,7883,8557
Violent,9500,10157,10362,11255,11696,12026,10130,10076,11053,12824
